country,week,category,weekly_rank,show_title,season_title
US,7/25/2021,Films (English),8,Trollhunters: Rise of the Titans,N/A
US,7/25/2021,Films (English),9,Fear Street Part 3: 1666,N/A
US,7/25/2021,Films (English),10,The Last Letter From Your Lover,N/A
US,7/25/2021,TV (English),1,Virgin River,Virgin River: Season 3
US,7/25/2021,TV (English),2,Manifest,Manifest: Season 1
US,7/25/2021,TV (English),3,Never Have I Ever,Never Have I Ever: Season 2
US,7/25/2021,TV (English),4,Manifest,Manifest: Season 2
US,7/25/2021,TV (English),5,Heist,Heist: Season 1
US,7/25/2021,TV (English),6,Sex/Life,Sex/Life: Season 1
US,7/25/2021,TV (English),7,CoComelon,CoComelon: Season 3
US,7/25/2021,TV (English),8,Virgin River,Virgin River: Season 1
US,7/25/2021,TV (English),9,The Cook of Castamar,The Cook of Castamar: Season 1
US,7/25/2021,TV (English),10,Virgin River,Virgin River: Season 2
US,7/18/2021,Films (English),1,Gunpowder Milkshake,N/A
US,7/18/2021,Films (English),2,Fear Street Part 3: 1666,N/A
US,7/18/2021,Films (English),3,Twilight,N/A
US,7/18/2021,Films (English),4,Fear Street Part 2: 1978,N/A
US,7/18/2021,Films (English),5,Fear Street Part 1: 1994,N/A
US,7/18/2021,Films (English),6,The Twilight Saga: New Moon,N/A
US,7/18/2021,Films (English),7,Major Grom: Plague Doctor,N/A
US,7/18/2021,Films (English),8,The Twilight Saga: Eclipse,N/A
US,7/18/2021,Films (English),9,Mother's Day,N/A
US,7/18/2021,Films (English),10,The Twilight Saga: Breaking Dawn: Part 2,N/A
US,7/18/2021,TV (English),1,Virgin River,Virgin River: Season 3
US,7/18/2021,TV (English),2,Manifest,Manifest: Season 1
US,7/18/2021,TV (English),3,Never Have I Ever,Never Have I Ever: Season 2
US,7/18/2021,TV (English),4,Manifest,Manifest: Season 2
US,7/18/2021,TV (English),5,Sex/Life,Sex/Life: Season 1
US,7/18/2021,TV (English),6,Atypical,Atypical: Season 4
US,7/18/2021,TV (English),7,Heist,Heist: Season 1
US,7/18/2021,TV (English),8,The Cook of Castamar,The Cook of Castamar: Season 1
US,7/18/2021,TV (English),9,Virgin River,Virgin River: Season 1
US,7/18/2021,TV (English),10,CoComelon,CoComelon: Season 3
US,7/11/2021,Films (English),1,Mother's Day,N/A
US,7/11/2021,Films (English),2,Fear Street Part 1: 1994,N/A
US,7/11/2021,Films (English),3,Talladega Nights: The Ballad of Ricky Bobby,N/A
US,7/11/2021,Films (English),4,Fear Street Part 2: 1978,N/A
US,7/11/2021,Films (English),5,The Ice Road,N/A
US,7/11/2021,Films (English),6,Fatherhood,N/A
US,7/11/2021,Films (English),7,The Best of Enemies,N/A
US,7/11/2021,Films (English),8,Major Grom: Plague Doctor,N/A
US,7/11/2021,Films (English),9,Wish Dragon,N/A
US,7/11/2021,Films (English),10,The Life of David Gale,N/A
US,7/11/2021,TV (English),1,Manifest,Manifest: Season 1
US,7/11/2021,TV (English),2,Virgin River,Virgin River: Season 3
US,7/11/2021,TV (English),3,Manifest,Manifest: Season 2
US,7/11/2021,TV (English),4,Sex/Life,Sex/Life: Season 1
US,7/11/2021,TV (English),5,Too Hot to Handle,Too Hot to Handle: Season 2
US,7/11/2021,TV (English),6,CoComelon,CoComelon: Season 3
US,7/11/2021,TV (English),7,Atypical,Atypical: Season 4
US,7/11/2021,TV (English),8,Big Timber,Big Timber: Season 1
US,7/11/2021,TV (English),9,Grey's Anatomy,Grey's Anatomy: Season 17
US,7/11/2021,TV (English),10,Bureau of Magical Things,Bureau of Magical Things: Season 1
US,7/4/2021,Films (English),1,The Ice Road,N/A
US,7/4/2021,Films (English),2,Fatherhood,N/A
US,7/4/2021,Films (English),3,Fear Street Part 1: 1994,N/A
US,7/4/2021,Films (English),4,Wish Dragon,N/A
US,7/4/2021,Films (English),5,Mother's Day,N/A
US,7/4/2021,Films (English),6,Good on Paper,N/A
US,7/4/2021,Films (English),7,Home,N/A
US,7/4/2021,Films (English),8,Talladega Nights: The Ballad of Ricky Bobby,N/A
US,7/4/2021,Films (English),9,The Mitchells vs. The Machines,N/A
US,7/4/2021,Films (English),10,Dog Gone Trouble,N/A
US,7/4/2021,TV (English),1,Manifest,Manifest: Season 1
US,7/4/2021,TV (English),2,Manifest,Manifest: Season 2
US,7/4/2021,TV (English),3,Sex/Life,Sex/Life: Season 1
US,7/4/2021,TV (English),4,Too Hot to Handle,Too Hot to Handle: Season 2
US,7/4/2021,TV (English),5,The Seven Deadly Sins,The Seven Deadly Sins: Dragon's Judgement
US,7/4/2021,TV (English),6,CoComelon,CoComelon: Season 3
US,7/4/2021,TV (English),7,"Newly Rich, Newly Poor","Newly Rich, Newly Poor: Season 1"
US,7/4/2021,TV (English),8,Sweet Tooth,Sweet Tooth: Season 1
US,7/4/2021,TV (English),9,CoComelon,CoComelon: Season 1
US,7/4/2021,TV (English),10,CoComelon,CoComelon: Season 2
